Y,X1,X2,X3
159229452,509,597,524
116890880,464,335,752
4346034,483,818,11
532552800,676,975,808
20354837,83,569,431
53268726,217,326,753
354245562,739,594,807
183499008,321,616,928
392286816,846,584,794
19487910,642,467,65
7735680,237,816,40
60185440,928,545,119
13692042,273,643,78
244445526,702,447,779
1631370,611,15,178
1150032,624,19,97
39953760,644,141,440
53865264,503,184,582
16286400,116,234,600
105854835,255,571,727
9050184,312,879,33
22260704,376,76,779
165162062,949,346,503
84193560,373,297,760
64616000,400,410,394
421601280,752,640,876
63572736,472,552,244
20461168,299,182,376
123901440,949,640,204
137163033,489,361,777
15141516,606,31,806
2244066,22,363,281
58041984,308,453,416
12664880,515,424,58
20977320,238,339,260
6770400,208,217,150
162530550,441,702,525
39922386,898,203,219
137216896,508,367,736
321742428,532,651,929
174266352,733,624,381
175946875,355,625,793
151426950,914,235,705
59951745,477,399,315
32673312,171,224,853
403804695,679,615,967
46570680,403,428,270
9728928,144,166,407
3538584,49,236,306
29221500,50,726,805
68468400,494,315,440
388943680,710,646,848
17851680,840,66,322
9718272,222,304,144
81334715,731,935,119
10616745,41,305,849
145286400,658,575,384
715008,152,84,56
52145370,933,81,690
216806436,522,682,609
62633025,115,931,585
254831838,717,398,893
32918502,194,347,489
13712738,299,997,46
7497096,401,456,41
90083453,389,631,367
64970600,388,197,850
9926400,235,330,128
167200,80,19,110
113981175,225,903,561
76519184,764,343,292
48297620,271,268,665
28806750,315,118,775
18370560,138,416,320
143550225,525,513,533
35026992,624,81,693
3672672,402,16,571
13430112,148,597,152
193848,2,394,246
149192750,931,250,641
259326122,829,649,482
83624670,873,103,930
57507702,717,674,119
59465120,286,565,368
2576112,164,84,187
339494568,753,679,664
188982720,810,368,634
125997634,917,206,667
54783228,206,762,349
381633777,651,789,743
2027886,742,3,911
91291200,231,520,760
34241613,777,127,347
3399680,640,664,8
91051812,131,774,898
990090,57,579,30
88537878,286,477,649
29000232,551,387,136
137101770,663,339,610
288955188,783,804,459
45120900,660,121,565
9451728,102,648,143
3802554,63,586,103
644941440,864,870,858
110883456,953,576,202
12937960,343,820,46
42671200,650,746,88
68993928,366,683,276
8616720,69,892,140
350254400,544,815,790
303271200,657,577,800
3603255,57,235,269
370880640,936,780,508
36923400,75,876,562
22545600,160,210,671
1914435,81,29,815
34206314,134,397,643
203133488,596,556,613
279048336,997,588,476
169927000,677,251,1000
3753792,96,686,57
41118288,696,271,218
86240582,893,886,109
273798000,795,350,984
190602946,586,361,901
165761712,523,568,558
3535840,880,574,7
13587808,416,89,367
14379264,128,237,474
84822452,572,221,671
13109019,231,847,67
269128728,396,811,838
250820584,952,487,541
20382996,698,93,314
119287320,678,190,926
127157100,802,906,175
57064518,174,679,483
35410830,637,255,218
49220064,298,186,888
23317440,428,120,454
159411392,326,944,518
191986350,365,591,890
22165703,497,103,433
8003954,938,371,23
169474728,367,542,852
400690756,514,953,818
4598880,264,20,871
8601900,212,541,75
258901731,759,453,753
136282752,562,576,421
169206408,756,438,511
6954688,16,643,676
258593000,964,290,925
46549760,128,887,410
5400900,18,353,850
232510357,907,659,389
374966144,721,956,544
27473440,32,955,899
293842520,584,515,977
3306765,147,409,55
443678648,881,529,952
312816,588,38,14
12886614,754,633,27
412463439,447,989,933
20506248,261,488,161
513150784,608,881,958
393375528,953,468,882
75024900,540,185,751
480762543,947,591,859
146190330,921,555,286
107156916,563,204,933
19719000,250,84,939
1499976,664,9,251
69674976,749,342,272
